FTID,Form_Title,Collection method,Tool,Patient-friendly label (English),Patient-friendly label (Welsh),Clinician-friendly label
1,ORTHOPAEDICHIP,In-Clinic,Pre-op Oxford Hip (in clinic) ,Orthopaedic Hip Form,Ffurflen Orthopedeg Clun,Hip - Oxford Pre op (in-clinic)
2,ORTHOPAEDICKNEE,In-Clinic,Pre-op Oxford Knee (in clinic) ,Orthopaedic Knee Form,Ffurflen Orthopedeg Pen-glin,Knee - Oxford Pre op (in-clinic)
7,GENERIC,In-Clinic,Generic Questionnaire,PROMs Generic Form,Ffurflen PROMs,Generic Questionnaire 
8,FOOTANDANKLE,In-Clinic,Pre-op Oxford F&A  (in clinic) ,Foot and Ankle Form,Ffurflen Droed a Phigwrn,Foot and Ankle - Oxford Pre op (in-clinic)
14,ORTHOPAEDICHIP_POSTOP,In-Clinic,Post-op Oxford Hip (in clinic) ,Post Op Orthopaedic Hip Form,Ffurflen Orthopedeg Clun Wedi Gweithdrefn,Hip - Oxford Post op (in clinic)
15,ORTHOPAEDICKNEE_POSTOP,In-Clinic,Post-op Oxford Knee(in clinic) ,Post Op Orthopaedic Knee Form,Ffurflen Orthopedeg Pen-glin Wedi Gweithdrefn,Knee - Oxford Post op (in-clinic)
17,GENERIC_POSTOP,,,,,
19,GENERICQUESTIONS,Remote,,PROMs Generic Questions,Cwestiynau PROMs,Generic Questionnaire
20,OXFORDHIPSCORE,Remote,Oxford hip score,Oxford Hip Score,Sgôr Clun Rhydychen,Hip - Oxford  Form
21,OXFORDKNEESCORE,Remote,Oxford knee score,Oxford Knee Score,Sgôr Pen-glin Rhydychen,Knee - Oxford Form
22,OXFORDSHOULDERSCORE,Remote,Oxford shoulder score,Oxford Shoulder Score,Sgôr Ysgwydd Rhydychen,Shoulder -Oxford Form
24,OXFORDFOOTANDANKLESCORE,Remote,Oxford F&A score,Oxford Foot and Ankle Score,Sgôr Droed a Phigwrn Rhydychen, Foot & Ankle - Oxford Form
25,OXFORDELBOWSCORE,Remote,Oxford elbow score,Oxford Elbow Score,Sgôr Penelin Rhydychen,Elbow - Oxford Form
35,BOSTONCARPALTUNNELSYNDROME,Remote,Boston,Boston Carpal Tunnel Syndrome,Syndrom Twnnel y Carpus Boston,Hand - Carpal Tunnel
36,CATQUEST9SF2011,Remote,,CatQuest-9,CatQuest-9,Cataract - CAT Quest 9sf 
40,HANDPEM,Remote,Post op PEM,Hand Patient Evaluation Measure,Mesuriad Gwerthuso Cleifion Llaw (PEM),Hand - PEM Pre op
41,IKDCSUBJECTIVEKNEEFORM,Remote,IKDC,IKDC Subjective Knee Form,Gwerthusiad Pen-glin Goddrychol IKDC,Knee - IKDC
42,KOOSKNEEFORM,Remote,Koos,KOOS Knee Form,Arolwg Pen-glin KOOS,Knee - KOOS
49,TONSILLECTOMY,In-Clinic,Tonsils T14,Tonsillectomy,Tonsilectomi,Tonsils - T14 
53,MHQHANDFORM,Remote,Brief Michigan,MHQ Hand Form,Holiadur Canlyniadau Llaw Michigan,Hand - Brief Michigan
56,EORTC-QLQ-C30,,,,,
58,TEGNER_ACTIVITY_SCALE,Remote,Tegner activity scale,Tegner Activity Level Scale,Graddfa Lefel Gweithgaredd Tegner,Knee - Tegner activity scale 
59,QuickDASH,Remote,Quick dash,Quick Dash Outcome Measure,Mesur Canlyniad Quick Dash,Hand - Quickdash
60,iHOT12,Remote,IHOT 12,International Hip Outcome Tool,Offeryn Canlyniad Clun Rhyngwladol,Hip - IHOT12
61,EORTCCOMBINED,In-Clinic & Remote,Lung assessment,Lung Assessment Form,Ffurflen Asesiad yr Ysgyfaint,Lung Assessment 
101,INCLINIC_ORTHOPAEDICHIP_PREOP,In-Clinic,Pre-op Oxford Hip (in clinic) ,Orthopaedic Hip Form,Ffurflen Orthopedeg Clun,Hip - Oxford Pre op (in-clinic)
102,INCLINIC_ORTHOPAEDICHIP_POSTOP,In-Clinic,Post-op Oxford Hip (in clinic) ,Post Op Orthopaedic Hip Form,Ffurflen Orthopedeg Clun Wedi Gweithdrefn,Hip - Oxford Post op (in clinic)
103,INCLINIC_ORTHOPAEDICKNEE_PREOP,In-Clinic,Pre-op Oxford Knee (in clinic) ,Orthopaedic Knee Form,Ffurflen Orthopedeg Pen-glin,Knee - Oxford Pre op (in-clinic)
104,INCLINIC_ORTHOPAEDICKNEE_POSTOP,In-Clinic,Post-op Oxford Knee(in clinic) ,Post Op Orthopaedic Knee Form,Ffurflen Orthopedeg Pen-glin Wedi Gweithdrefn,Knee - Oxford Post op (in-clinic)
105,INCLINIC_FOOTANDANKLE_PREOP,In-Clinic,Pre-op Oxford F&A  (in clinic) ,Foot and Ankle Form,Ffurflen Droed a Phigwrn,Foot and Ankle - Oxford Pre op (in-clinic)
106,INCLINIC_FOOTANDANKLE_POSTOP,In-Clinic,Post-op Oxford F&A (in clinic) ,Post Op Foot / Ankle Form,Ffurflen Droed a Phigwrn Wedi Gweithdrefn,Foot and Ankle - Oxford Post op (in-clinic)
113,INCLINIC_HEARTFAILURE,In-Clinic,Heart Failure Form (in clinic),Heart Function Assessment Form,,Heart Failure (in-clinic)
200,GENERICQUESTIONS,In-Clinic & Remote,Generic Questionnaire,Your general health,Eich iechyd cyffredinol,Generic Questionnaire 
201,RESPIRATORY_EORTCCOMBINED,In-Clinic & Remote,Lung assessment,Lung Assessment Form,Ffurflen Asesiad yr Ysgyfaint,Lung Assessment 
300,HIP_OXFORDHIPSCORE,Remote,Oxford hip score,Your hip Problems,Problemau eich clun,Hip - Oxford  Form
301,HIP_PRE_OXFORDHIPSCORE,Remote,Pre op oxford hip score,Your hip Problems - pre treatment,Problemau eich clun - cyn-triniaeth,Hip - Oxford Pre-Op
302,HIP_POST_OXFORDHIPSCORE,Remote,Post op oxford hip score,Your hip Problems - post treatment,Problemau eich clun - ôl-triniaeth,Hip  - Oxford Post-Op 
303,KNEE_OXFORDKNEESCORE,Remote,Oxford knee score,Your Knee Problems,Problemau eich pen-glin,Knee - Oxford Form
304,KNEE_PRE_OXFORDKNEESCORE,Remote,Pre op oxford knee score,Your Knee Problems - pre treatment,Problemau eich pen-glin - cyn-triniaeth,Knee - Oxford Pre-Op
305,KNEE_POST_OXFORDKNEESCORE,Remote,Post op oxford knee score,Your Knee Problems - post treatment,Problemau eich pen-glin - ôl-triniaeth,Knee - Oxford Post-Op
306,FOOTANDANKLE_OXFORDFOOTANDANKLESCORE,Remote,Oxford F&A score,Your foot/ankle,Eich troed/pigwrn,Foot & Ankle - Oxford Form
309,ELBOW_OXFORDELBOWSCORE,Remote,Oxford elbow score,Your Elbow Problems,Problemau eich penelin,Elbow - Oxford Form
310,ELBOW_PRE_OXFORDELBOWSCORE,Remote,Pre op oxford Elbow score,Your Elbow Problems - pre treatment,Problemau eich penelin - cyn-triniaeth,Elbow - Oxford Pre-Op 
312,SHOULDER_OXFORDSHOULDERSCORE,Remote,Oxford shoulder score,Your Shoulder,Eich ysgwydd ,Shoulder -Oxford Form
313,SHOULDER_PRE_OXFORDSHOULDERSCORE,Remote,Pre op oxford shoulder score,Your Shoulder pre treatment,Eich ysgwydd cyn-triniaeth ,Shoulder - Oxford Pre-Op
315,SHOULDER_OXFORDSHOULDERINSTABILITYSCORE,Remote,Oxford shoulder instability score,Your Shoulder Problems,Problemau eich ysgwydd,Shoulder - Oxford Instability Form
320,HIP_iHOT12,Remote,IHOT 12,Your hip – Pain / Movement,Eich clun – Poen / Symudiad,Hip - IHOT12
330,KNEE_IKDC,Remote,IKDC,Your Knee - Pain,Eich pen-glin - Poen,Knee - IKDC
331,KNEE_KOOS,Remote,Koos,Your Knee - Activities,Eich pen-glin - Gweithgareddau,Knee - KOOS
332,KNEE_OXFORDKNEESCOREAPQ,Remote,oxford knee score APQ,Your Knee - Movement,Eich pen-glin - Symudiad,Knee - Oxford knee score APQ 
334,KNEE_TEGNERACTIVITYSCALE,Remote,Tegner activity scale,Your Knee - Sport,Eich pen-glin - Chwaraeon,Knee - Tegner activity scale 
340,HAND_CARPALTUNNELSYNDROME,Remote,Boston,Your hand/wrist - Carpal Tunnel,Eich llaw/arddwrn - Twnnel Carpws,Hand - Carpal Tunnel
341,HAND_PRWHE,Remote,PRWHE,Your hand/wrist - Symptoms,Eich llaw/arddwrn - Symptomau,Hand - PRWHE
342,HAND_MHQ,Remote,Brief Michigan,Your hand/wrist - Problems,Eich llaw/arddwrn - Problemau,Hand - Brief Michigan
343,HAND_URAM,Remote,URAM,Your hand/wrist - Pain,Eich llaw/arddwrn - Poen,Hand - URAM
344,HAND_QuickDASH,Remote,Quick dash,Your hand/wrist - Activities and Work,Eich llaw/arddwrn - Gweithgareddau a Gwaith,Hand - Quickdash
345,HAND_PRE_PEM,Remote,Pre op PEM,Your hand/wrist pre treatment,Eich llaw/arddwrn cyn-triniaeth ,Hand - PEM Pre op
350,ENT_TONSILLECTOMY,In-Clinic & Remote,Tonsils T14,Your Child's Throat,Gwddf Eich Plentyn,Tonsils - T14 
360,OPHTHALMOLOGY_CATQUEST9SF2011,Remote,,Your cataract,Eich cataract,Cataract - CAT Quest 9sf 
361,OPHTHALMOLOGY_CATPROM5,Remote,Cataract PROM 5,Your cataract,Eich cataract,Cataract - PROM 5
370,DERMATOLOGY_DLQI,Remote,,Your skin,Eich croen,Derm -DLQI
400,GENERICQUESTIONS_PREMS,In-Clinic & Remote,PREM,Your experience of care,Eich profiad gofal,PREMs
430,HEARTFAILURE,,,,,